descricao_produto_preco_minimo;id_produto;uf;regionalizacao;ano_inicio_vigencia;mes_incio_vigencia;ano_termino_vigencia;mes_termino_vigencia;preco;dsc_unidade_comercializacao;nome_normativo;url
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;AC;AC             ;2014;07;2015;06;1.11;kg                                                          ;PORTARIA Nº 201, DE 1º DE JULH;NI
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;AC;AC             ;2015;07;2016;06;1.18;kg                                                          ;PORTARIA Nº 201, DE 1º DE JULH;NI
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;AC;AC             ;2016;07;2017;06;1.29;kg                                                          ;PORTARIA Nº 123, DE 5 DE JULHO;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2016_PRT_123.pdf
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;AC;AC             ;2017;07;2017;12;1.29;kg                                                          ;PORTARIA Nº  1.577, DE 17 DE J;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2017_PRT_1577.pdf
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;AC;AC             ;2018;01;2018;12;1.6;kg                                                          ;PORTARIA Nº 14, DE 3 DE JANEIR;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2018_PRT_14.pdf
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;AC;AC             ;2019;01;2019;12;1.63;kg                                                          ;PORTARIA Nº 141 DE 8 DE JANEIR;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2019_PRT_141.pdf
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;AC;AC             ;2020;01;2020;12;1.41;kg                                                          ;PORTARIA Nº 313, DE 30 DE DEZE;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2019_PRT_313.pdf
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;AC;AC             ;2021;01;2021;12;1.41;kg                                                          ;PREÇOS MÍNIMOS DOS PRODUTOS DE;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2021_PRT_18.pdf
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;AC;AC             ;2022;01;2022;12;1.63;kg                                                          ;PORTARIA MAPA Nº 376, DE 22 DE;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2021_PRT_376.pdf
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;AC;AC             ;2023;01;2023;12;1.81;kg                                                          ;PORTARIA MAPA Nº 534, DE 19 DE;https://www.in.gov.br/en/web/dou/-/portaria-mapa-n-534-de-19-de-dezembro-de-2022-452020932
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;AC;AC             ;2024;01;2024;12;1.98;kg                                                          ;PORTARIA MDA Nº 41, DE 29 DE D;https://www.in.gov.br/web/dou/-/portaria-mda-n-41-de-29-de-dezembro-de-2023-535311884
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;AL;AL             ;2014;07;2015;06;1.11;kg                                                          ;PORTARIA Nº 201, DE 1º DE JULH;NI
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;AL;AL             ;2015;07;2016;06;1.18;kg                                                          ;PORTARIA Nº 201, DE 1º DE JULH;NI
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;AL;AL             ;2016;07;2017;06;1.29;kg                                                          ;PORTARIA Nº 123, DE 5 DE JULHO;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2016_PRT_123.pdf
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;AL;AL             ;2017;07;2017;12;1.29;kg                                                          ;PORTARIA Nº  1.577, DE 17 DE J;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2017_PRT_1577.pdf
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;AL;AL             ;2018;01;2018;12;1.6;kg                                                          ;PORTARIA Nº 14, DE 3 DE JANEIR;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2018_PRT_14.pdf
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;AL;AL             ;2019;01;2019;12;1.63;kg                                                          ;PORTARIA Nº 141 DE 8 DE JANEIR;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2019_PRT_141.pdf
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;AL;AL             ;2020;01;2020;12;1.41;kg                                                          ;PORTARIA Nº 313, DE 30 DE DEZE;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2019_PRT_313.pdf
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;AL;AL             ;2021;01;2021;12;1.41;kg                                                          ;PREÇOS MÍNIMOS DOS PRODUTOS DE;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2021_PRT_18.pdf
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;AL;AL             ;2022;01;2022;12;1.63;kg                                                          ;PORTARIA MAPA Nº 376, DE 22 DE;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2021_PRT_376.pdf
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;AL;AL             ;2023;01;2023;12;1.81;kg                                                          ;PORTARIA MAPA Nº 534, DE 19 DE;in.gov.br/en/web/dou/-/portaria-mapa-n-534-de-19-de-dezembro-de-2022-452020932
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;AL;AL             ;2024;01;2024;12;1.98;kg                                                          ;PORTARIA MDA Nº 41, DE 29 DE D;https://www.in.gov.br/web/dou/-/portaria-mda-n-41-de-29-de-dezembro-de-2023-535311884
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;AM;AM             ;2014;07;2015;06;1.11;kg                                                          ;PORTARIA Nº 201, DE 1º DE JULH;NI
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;AM;AM             ;2015;07;2016;06;1.18;kg                                                          ;PORTARIA Nº 201, DE 1º DE JULH;NI
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;AM;AM             ;2016;07;2017;06;1.29;kg                                                          ;PORTARIA Nº 123, DE 5 DE JULHO;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2016_PRT_123.pdf
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;AM;AM             ;2017;07;2017;12;1.29;kg                                                          ;PORTARIA Nº  1.577, DE 17 DE J;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2017_PRT_1577.pdf
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;AM;AM             ;2018;01;2018;12;1.6;kg                                                          ;PORTARIA Nº 14, DE 3 DE JANEIR;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2018_PRT_14.pdf
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;AM;AM             ;2019;01;2019;12;1.63;kg                                                          ;PORTARIA Nº 141 DE 8 DE JANEIR;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2019_PRT_141.pdf
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;AM;AM             ;2020;01;2020;12;1.41;kg                                                          ;PORTARIA Nº 313, DE 30 DE DEZE;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2019_PRT_313.pdf
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;AM;AM             ;2021;01;2021;12;1.41;kg                                                          ;PREÇOS MÍNIMOS DOS PRODUTOS DE;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2021_PRT_18.pdf
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;AM;AM             ;2022;01;2022;12;1.63;kg                                                          ;PORTARIA MAPA Nº 376, DE 22 DE;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2021_PRT_376.pdf
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;AM;AM             ;2023;01;2023;12;1.81;kg                                                          ;PORTARIA MAPA Nº 534, DE 19 DE;https://www.in.gov.br/en/web/dou/-/portaria-mapa-n-534-de-19-de-dezembro-de-2022-452020932
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;AM;AM             ;2024;01;2024;12;1.98;kg                                                          ;PORTARIA MDA Nº 41, DE 29 DE D;https://www.in.gov.br/web/dou/-/portaria-mda-n-41-de-29-de-dezembro-de-2023-535311884
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;AP;AP             ;2014;07;2015;06;1.11;kg                                                          ;PORTARIA Nº 201, DE 1º DE JULH;NI
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;AP;AP             ;2015;07;2016;06;1.18;kg                                                          ;PORTARIA Nº 201, DE 1º DE JULH;NI
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;AP;AP             ;2016;07;2017;06;1.29;kg                                                          ;PORTARIA Nº 123, DE 5 DE JULHO;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2016_PRT_123.pdf
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;AP;AP             ;2017;07;2017;12;1.29;kg                                                          ;PORTARIA Nº  1.577, DE 17 DE J;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2017_PRT_1577.pdf
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;AP;AP             ;2018;01;2018;12;1.6;kg                                                          ;PORTARIA Nº 14, DE 3 DE JANEIR;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2018_PRT_14.pdf
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;AP;AP             ;2019;01;2019;12;1.63;kg                                                          ;PORTARIA Nº 141 DE 8 DE JANEIR;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2019_PRT_141.pdf
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;AP;AP             ;2020;01;2020;12;1.41;kg                                                          ;PORTARIA Nº 313, DE 30 DE DEZE;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2019_PRT_313.pdf
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;AP;AP             ;2021;01;2021;12;1.41;kg                                                          ;PREÇOS MÍNIMOS DOS PRODUTOS DE;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2021_PRT_18.pdf
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;AP;AP             ;2022;01;2022;12;1.63;kg                                                          ;PORTARIA MAPA Nº 376, DE 22 DE;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2021_PRT_376.pdf
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;AP;AP             ;2023;01;2023;12;1.81;kg                                                          ;PORTARIA MAPA Nº 534, DE 19 DE;https://www.in.gov.br/en/web/dou/-/portaria-mapa-n-534-de-19-de-dezembro-de-2022-452020932
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;AP;AP             ;2024;01;2024;12;1.98;kg                                                          ;PORTARIA MDA Nº 41, DE 29 DE D;https://www.in.gov.br/web/dou/-/portaria-mda-n-41-de-29-de-dezembro-de-2023-535311884
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;BA;BA             ;2014;07;2015;06;1.11;kg                                                          ;PORTARIA Nº 201, DE 1º DE JULH;NI
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;BA;BA             ;2015;07;2016;06;1.18;kg                                                          ;PORTARIA Nº 201, DE 1º DE JULH;NI
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;BA;BA             ;2016;07;2017;06;1.29;kg                                                          ;PORTARIA Nº 123, DE 5 DE JULHO;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2016_PRT_123.pdf
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;BA;BA             ;2017;07;2017;12;1.29;kg                                                          ;PORTARIA Nº  1.577, DE 17 DE J;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2017_PRT_1577.pdf
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;BA;BA             ;2018;01;2018;12;1.6;kg                                                          ;PORTARIA Nº 14, DE 3 DE JANEIR;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2018_PRT_14.pdf
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;BA;BA             ;2019;01;2019;12;1.63;kg                                                          ;PORTARIA Nº 141 DE 8 DE JANEIR;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2019_PRT_141.pdf
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;BA;BA             ;2020;01;2020;12;1.41;kg                                                          ;PORTARIA Nº 313, DE 30 DE DEZE;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2019_PRT_313.pdf
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;BA;BA             ;2021;01;2021;12;1.41;kg                                                          ;PREÇOS MÍNIMOS DOS PRODUTOS DE;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2021_PRT_18.pdf
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;BA;BA             ;2022;01;2022;12;1.63;kg                                                          ;PORTARIA MAPA Nº 376, DE 22 DE;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2021_PRT_376.pdf
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;BA;BA             ;2023;01;2023;12;1.81;kg                                                          ;PORTARIA MAPA Nº 534, DE 19 DE;https://www.in.gov.br/en/web/dou/-/portaria-mapa-n-534-de-19-de-dezembro-de-2022-452020932
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;BA;BA             ;2024;01;2024;12;1.98;kg                                                          ;PORTARIA MDA Nº 41, DE 29 DE D;https://www.in.gov.br/web/dou/-/portaria-mda-n-41-de-29-de-dezembro-de-2023-535311884
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;CE;CE             ;2014;07;2015;06;1.11;kg                                                          ;PORTARIA Nº 201, DE 1º DE JULH;NI
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;CE;CE             ;2015;07;2016;06;1.18;kg                                                          ;PORTARIA Nº 201, DE 1º DE JULH;NI
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;CE;CE             ;2016;07;2017;06;1.29;kg                                                          ;PORTARIA Nº 123, DE 5 DE JULHO;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2016_PRT_123.pdf
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;CE;CE             ;2017;07;2017;12;1.29;kg                                                          ;PORTARIA Nº  1.577, DE 17 DE J;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2017_PRT_1577.pdf
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;CE;CE             ;2018;01;2018;12;1.6;kg                                                          ;PORTARIA Nº 14, DE 3 DE JANEIR;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2018_PRT_14.pdf
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;CE;CE             ;2019;01;2019;12;1.63;kg                                                          ;PORTARIA Nº 141 DE 8 DE JANEIR;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2019_PRT_141.pdf
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;CE;CE             ;2020;01;2020;12;1.41;kg                                                          ;PORTARIA Nº 313, DE 30 DE DEZE;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2019_PRT_313.pdf
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;CE;CE             ;2021;01;2021;12;1.41;kg                                                          ;PREÇOS MÍNIMOS DOS PRODUTOS DE;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2021_PRT_18.pdf
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;CE;CE             ;2022;01;2022;12;1.63;kg                                                          ;PORTARIA MAPA Nº 376, DE 22 DE;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2021_PRT_376.pdf
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;CE;CE             ;2023;01;2023;12;1.81;kg                                                          ;PORTARIA MAPA Nº 534, DE 19 DE;https://www.in.gov.br/en/web/dou/-/portaria-mapa-n-534-de-19-de-dezembro-de-2022-452020932
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;CE;CE             ;2024;01;2024;12;1.98;kg                                                          ;PORTARIA MDA Nº 41, DE 29 DE D;https://www.in.gov.br/web/dou/-/portaria-mda-n-41-de-29-de-dezembro-de-2023-535311884
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;MA;MA             ;2014;07;2015;06;1.11;kg                                                          ;PORTARIA Nº 201, DE 1º DE JULH;NI
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;MA;MA             ;2015;07;2016;06;1.18;kg                                                          ;PORTARIA Nº 201, DE 1º DE JULH;NI
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;MA;MA             ;2016;07;2017;06;1.29;kg                                                          ;PORTARIA Nº 123, DE 5 DE JULHO;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2016_PRT_123.pdf
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;MA;MA             ;2017;07;2017;12;1.29;kg                                                          ;PORTARIA Nº  1.577, DE 17 DE J;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2017_PRT_1577.pdf
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;MA;MA             ;2018;01;2018;12;1.6;kg                                                          ;PORTARIA Nº 14, DE 3 DE JANEIR;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2018_PRT_14.pdf
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;MA;MA             ;2019;01;2019;12;1.63;kg                                                          ;PORTARIA Nº 141 DE 8 DE JANEIR;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2019_PRT_141.pdf
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;MA;MA             ;2020;01;2020;12;1.41;kg                                                          ;PORTARIA Nº 313, DE 30 DE DEZE;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2019_PRT_313.pdf
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;MA;MA             ;2021;01;2021;12;1.41;kg                                                          ;PREÇOS MÍNIMOS DOS PRODUTOS DE;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2021_PRT_18.pdf
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;MA;MA             ;2022;01;2022;12;1.63;kg                                                          ;PORTARIA MAPA Nº 376, DE 22 DE;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2021_PRT_376.pdf
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;MA;MA             ;2023;01;2023;12;1.81;kg                                                          ;PORTARIA MAPA Nº 534, DE 19 DE;https://www.in.gov.br/en/web/dou/-/portaria-mapa-n-534-de-19-de-dezembro-de-2022-452020932
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;MA;MA             ;2024;01;2024;12;1.98;kg                                                          ;PORTARIA MDA Nº 41, DE 29 DE D;https://www.in.gov.br/web/dou/-/portaria-mda-n-41-de-29-de-dezembro-de-2023-535311884
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;PA;PA             ;2014;07;2015;06;1.11;kg                                                          ;PORTARIA Nº 201, DE 1º DE JULH;NI
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;PA;PA             ;2015;07;2016;06;1.18;kg                                                          ;PORTARIA Nº 201, DE 1º DE JULH;NI
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;PA;PA             ;2016;07;2017;06;1.29;kg                                                          ;PORTARIA Nº 123, DE 5 DE JULHO;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2016_PRT_123.pdf
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;PA;PA             ;2017;07;2017;12;1.29;kg                                                          ;PORTARIA Nº  1.577, DE 17 DE J;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2017_PRT_1577.pdf
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;PA;PA             ;2018;01;2018;12;1.6;kg                                                          ;PORTARIA Nº 14, DE 3 DE JANEIR;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2018_PRT_14.pdf
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;PA;PA             ;2019;01;2019;12;1.63;kg                                                          ;PORTARIA Nº 141 DE 8 DE JANEIR;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2019_PRT_141.pdf
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;PA;PA             ;2020;01;2020;12;1.41;kg                                                          ;PORTARIA Nº 313, DE 30 DE DEZE;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2019_PRT_313.pdf
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;PA;PA             ;2021;01;2021;12;1.41;kg                                                          ;PREÇOS MÍNIMOS DOS PRODUTOS DE;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2021_PRT_18.pdf
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;PA;PA             ;2022;01;2022;12;1.63;kg                                                          ;PORTARIA MAPA Nº 376, DE 22 DE;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2021_PRT_376.pdf
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;PA;PA             ;2023;01;2023;12;1.81;kg                                                          ;PORTARIA MAPA Nº 534, DE 19 DE;https://www.in.gov.br/en/web/dou/-/portaria-mapa-n-534-de-19-de-dezembro-de-2022-452020932
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;PA;PA             ;2024;01;2024;12;1.98;kg                                                          ;PORTARIA MDA Nº 41, DE 29 DE D;https://www.in.gov.br/web/dou/-/portaria-mda-n-41-de-29-de-dezembro-de-2023-535311884
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;PB;PB             ;2014;07;2015;06;1.11;kg                                                          ;PORTARIA Nº 201, DE 1º DE JULH;NI
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;PB;PB             ;2015;07;2016;06;1.18;kg                                                          ;PORTARIA Nº 201, DE 1º DE JULH;NI
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;PB;PB             ;2016;07;2017;06;1.29;kg                                                          ;PORTARIA Nº 123, DE 5 DE JULHO;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2016_PRT_123.pdf
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ;6331;PB;PB             ;2017;07;2017;12;1.29;kg                                                          ;PORTARIA Nº  1.577, DE 17 DE J;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2017_PRT_1577.pdf
